,agency,station_name,charger_types,no_of_ports,street,city,postcode,borough,public_charger_,fee_for_city_drivers,latitude,longitude,community_district,council_district,census_tract,bin,bbl,nta,station_id,geometry
0,ACS,"ACS - 2554 Linden Blvd, Brooklyn","['Level 2 Charger', 'Level 3 Fast Charger']",3,2554 Linden Blvd,East New York,11208,Brooklyn,No,No,40.668034,-73.869949,305.0,42.0,1220.0,3098733.0,3044840013.0,BK0505,urn:agentwin:city:ev-charging-station:4e55380591804d5a51f8a8af547ae27ec0b105f0e571b8f3ef14436d2b8720ff,POINT (-73.869949 40.668034)
1,ACS,"ACS - 350 St Marks Pl, Staten Island",['Level 2 Charger'],1,350 St Marks Pl,Staten Island,10301,Staten Island,No,No,40.640708,-74.077697,501.0,49.0,3.0,5000185.0,5000160054.0,SI0101,urn:agentwin:city:ev-charging-station:78800793b10184db7725961665d38cc708f296fd21960b20437b3d1ee22b8f08,POINT (-74.077697 40.640708)
2,CITYHALL,"CITYHALL - New York City Hall, Manhattan",['Level 2 Charger'],4,New York City Hall,New York,10007,Manhattan,No,No,40.712806,-74.006096,101.0,1.0,31.0,1079147.0,1001220001.0,MN0102,urn:agentwin:city:ev-charging-station:5534de34b7b1c5723f6dc00e89da499bf22f8783bb6ba67eab25b6bee545cb99,POINT (-74.006096 40.712806)
3,DCAS,"DCAS - 1 Centre St, Manhattan","['EV Solar Arc Charger', 'Level 3 Fast Charger']",3,1 Centre St,New York,10007,Manhattan,No,No,40.713001,-74.004181,101.0,1.0,2901.0,1001394.0,1001210001.0,MN0102,urn:agentwin:city:ev-charging-station:20506606d91d26d9c2dc071dc7cadee6124c26ccb00a4dccb847198b40f881b8,POINT (-74.004181 40.713001)
4,DCAS,"DCAS - 2 Navy St, Brooklyn","['Level 2 Charger', 'Level 3 Fast Charger']",5,2 Navy St,Brooklyn,11201,Brooklyn,No,No,40.70061,-73.98042,302.0,35.0,23.0,,,BK0202,urn:agentwin:city:ev-charging-station:f97f5bcdf6dc4b13ebcc9643b119d7a95f3643c08e55a0fb9a3f6f7987a0e7d1,POINT (-73.98042 40.70061)
5,DCAS,"DCAS - 6626 Metropolitan Avenue, Queens","['Level 2 Charger', 'Level 3 Fast Charger']",8,6626 Metropolitan Avenue,Queens,11379,Queens,No,No,40.712377,-73.892143,405.0,30.0,61301.0,4443103.0,4036050001.0,QN0502,urn:agentwin:city:ev-charging-station:9a14c1bde75a2f8b61d73de4f629ee3ca95834c5c9d70f09944d16d8f638a44f,POINT (-73.892143 40.712377)
6,DCAS,"DCAS - 390 Kent Ave, Brooklyn","['Level 2 Charger', 'Level 3 Fast Charger']",7,390 Kent Ave,Brooklyn,11249,Brooklyn,No,No,40.711246,-73.968348,301.0,33.0,549.0,3063635.0,3024670001.0,BK0102,urn:agentwin:city:ev-charging-station:d813edcf427984a64b4229ccbaef92e4991709d546d13288f850127ee0d48150,POINT (-73.968348 40.711246)
7,DCAS,"DCAS - 350 Marconi Street, Bronx",['Level 3 Fast Charger'],4,350 Marconi Street,The Bronx,10461,Bronx,No,No,40.853529,-73.839048,211.0,13.0,284.0,2125035.0,2042260075.0,BX1161,urn:agentwin:city:ev-charging-station:e898f921bf0fd9b8aa13e7b90433296edf7639e00446f9205846717bef54e3f7,POINT (-73.839048 40.853529)
8,DCAS,"DCAS - 120-55 Queens Blvd, Queens",['Level 3 Fast Charger'],1,120-55 Queens Blvd,Queens,11415,Queens,No,No,40.713329,-73.828601,409.0,29.0,21601.0,4052812.0,4022740002.0,QN0901,urn:agentwin:city:ev-charging-station:a17b7a55b4d70b19cea94fcb6f0115a2106f1d4315d82ab48453159cc3f9ee54,POINT (-73.828601 40.713329)
9,DCAS,"DCAS - 100 Gold St, Manhattan","['Level 2 Charger', 'Level 3 Fast Charger']",6,100 Gold St,New York,10038,Manhattan,No,No,40.710353,-74.004007,101.0,1.0,1501.0,1001289.0,1000940025.0,MN0101,urn:agentwin:city:ev-charging-station:70a44de37e42a3c4d819e1fda395ca9f60f7449d4327449fc89e67ad559ff66d,POINT (-74.004007 40.710353)
