,id,name,power,operator,substation,voltage,frequency,geometry,substation_id,location_id,coordinate_system_id,position_point_id
1,108298302,Rainey Substation,substation,Consolidated Edison,transmission,345000;138000,60,POINT (-73.94301433655147 40.76328875),urn:agentwin:energy:substation:osm:108298302,urn:agentwin:energy:location:osm:108298302,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:108298302
3,108322562,Vernon Substation,substation,Consolidated Edison,distribution,138000,60,POINT (-73.94692354614071 40.7580157),urn:agentwin:energy:substation:osm:108322562,urn:agentwin:energy:location:osm:108322562,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:108322562
4,108331538,North Queens Substation,substation,Consolidated Edison,distribution,138000;27000,60,POINT (-73.90673731666212 40.781772200000006),urn:agentwin:energy:substation:osm:108331538,urn:agentwin:energy:location:osm:108331538,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:108331538
6,187984305,Jamaica Substation,substation,Consolidated Edison,transmission,138000;27000,60,POINT (-73.81390755000001 40.69918525),urn:agentwin:energy:substation:osm:187984305,urn:agentwin:energy:location:osm:187984305,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:187984305
8,188367030,West 49th Street Substation,substation,Consolidated Edison,transmission,345000,60,POINT (-73.99596838681606 40.766038550000005),urn:agentwin:energy:substation:osm:188367030,urn:agentwin:energy:location:osm:188367030,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:188367030
11,219612704,Leonard Street Substation,substation,Consolidated Edison,distribution,69000;13200,60,POINT (-74.00647281557724 40.718439149999995),urn:agentwin:energy:substation:osm:219612704,urn:agentwin:energy:location:osm:219612704,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:219612704
12,232053177,Queensbridge Substation,substation,Consolidated Edison,distribution,138000;69000,60,POINT (-73.93834795212177 40.75616395),urn:agentwin:energy:substation:osm:232053177,urn:agentwin:energy:location:osm:232053177,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:232053177
17,248829017,Linden Substation,substation,Consolidated Edison,distribution,27000;4000,60,POINT (-73.73363642763906 40.6928204),urn:agentwin:energy:substation:osm:248829017,urn:agentwin:energy:location:osm:248829017,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:248829017
19,249107547,Bensonhurst Substation,substation,Consolidated Edison,distribution,138000;27000,60,POINT (-73.97590821965417 40.6215453),urn:agentwin:energy:substation:osm:249107547,urn:agentwin:energy:location:osm:249107547,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:249107547
22,249547428,Brownsville Substation,substation,Consolidated Edison,distribution,138000;27000,60,POINT (-73.89872685399004 40.66965515),urn:agentwin:energy:substation:osm:249547428,urn:agentwin:energy:location:osm:249547428,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:249547428
25,249930634,East 64th Street Substation,substation,Consolidated Edison,distribution,27000;4000,60,POINT (-73.91758954356447 40.619765650000005),urn:agentwin:energy:substation:osm:249930634,urn:agentwin:energy:location:osm:249930634,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:249930634
30,250386730,Water Street Substation,substation,Consolidated Edison,distribution,138000;27000,60,POINT (-73.98185601393077 40.7033727),urn:agentwin:energy:substation:osm:250386730,urn:agentwin:energy:location:osm:250386730,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:250386730
35,251879805,,substation,Consolidated Edison,transmission,69000,60,POINT (-73.97430318497388 40.72737454999999),urn:agentwin:energy:substation:osm:251879805,urn:agentwin:energy:location:osm:251879805,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:251879805
37,264644824,West 19th Street,substation,Consolidated Edison,distribution,69000;13200,60,POINT (-73.99731701471575 40.7413115),urn:agentwin:energy:substation:osm:264644824,urn:agentwin:energy:location:osm:264644824,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:264644824
38,265040100,,substation,Consolidated Edison,,,,POINT (-73.98321220331862 40.74326445),urn:agentwin:energy:substation:osm:265040100,urn:agentwin:energy:location:osm:265040100,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:265040100
