station_name,agency,street,borough,postcode,latitude,longitude,no_of_ports,charger_types,public_charger_,fee_for_city_drivers,geometry
"ACS - 2554 Linden Blvd, Brooklyn",ACS,2554 Linden Blvd,Brooklyn,11208,40.668034,-73.869949,3,"['Level 2 Charger', 'Level 3 Fast Charger']",No,No,POINT (-73.869949 40.668034)
"ACS - 350 St Marks Pl, Staten Island",ACS,350 St Marks Pl,Staten Island,10301,40.640708,-74.077697,1,['Level 2 Charger'],No,No,POINT (-74.077697 40.640708)
"CITYHALL - New York City Hall, Manhattan",CITYHALL,New York City Hall,Manhattan,10007,40.712806,-74.006096,4,['Level 2 Charger'],No,No,POINT (-74.006096 40.712806)
"DCAS - 1 Centre St, Manhattan",DCAS,1 Centre St,Manhattan,10007,40.713001,-74.004181,3,"['EV Solar Arc Charger', 'Level 3 Fast Charger']",No,No,POINT (-74.004181 40.713001)
"DCAS - 2 Navy St, Brooklyn",DCAS,2 Navy St,Brooklyn,11201,40.70061,-73.98042,5,"['Level 2 Charger', 'Level 3 Fast Charger']",No,No,POINT (-73.98042 40.70061)
"DCAS - 6626 Metropolitan Avenue, Queens",DCAS,6626 Metropolitan Avenue,Queens,11379,40.712377,-73.892143,8,"['Level 2 Charger', 'Level 3 Fast Charger']",No,No,POINT (-73.892143 40.712377)
"DCAS - 390 Kent Ave, Brooklyn",DCAS,390 Kent Ave,Brooklyn,11249,40.711246,-73.968348,7,"['Level 2 Charger', 'Level 3 Fast Charger']",No,No,POINT (-73.968348 40.711246)
"DCAS - 350 Marconi Street, Bronx",DCAS,350 Marconi Street,Bronx,10461,40.853529,-73.839048,4,['Level 3 Fast Charger'],No,No,POINT (-73.839048 40.853529)
"DCAS - 120-55 Queens Blvd, Queens",DCAS,120-55 Queens Blvd,Queens,11415,40.713329,-73.828601,1,['Level 3 Fast Charger'],No,No,POINT (-73.828601 40.713329)
"DCAS - 100 Gold St, Manhattan",DCAS,100 Gold St,Manhattan,10038,40.710353,-74.004007,6,"['Level 2 Charger', 'Level 3 Fast Charger']",No,No,POINT (-74.004007 40.710353)
"DDC - 3030 Thomson Ave, Queens",DDC,3030 Thomson Ave,Queens,11101,40.745042,-73.936191,5,"['EV Solar Arc Charger', 'Level 2 Charger', 'Level 3 Fast Charger']",No,No,POINT (-73.936191 40.745042)
"DDC - 30-20 Thomson Ave, Queens",DDC,30-20 Thomson Ave,Queens,11101,40.745095,-73.936635,2,['EV Solar Arc Charger'],No,No,POINT (-73.936635 40.745095)
"DEP - 2501 Knapp St, Brooklyn",DEP,2501 Knapp St,Brooklyn,11235,40.592214,-73.932546,2,['Level 2 Charger'],No,No,POINT (-73.932546 40.592214)
"DEP - 2405 Amsterdam Avenue, Manhattan",DEP,2405 Amsterdam Avenue,Manhattan,10033,40.846982,-73.931709,2,['Level 3 Fast Charger'],No,No,POINT (-73.931709 40.846982)
"DEP - 12266 Flatlands Ave, Brooklyn",DEP,12266 Flatlands Ave,Brooklyn,11207,40.654817,-73.881479,12,"['Level 2 Charger', 'Level 3 Fast Charger']",No,No,POINT (-73.881479 40.654817)
"DEP - 1540 Van Siclen Ave, Brooklyn",DEP,1540 Van Siclen Ave,Brooklyn,11239,40.648214,-73.877613,1,['Level 3 Fast Charger'],No,No,POINT (-73.877613 40.648214)
"DEP - 3701 Jerome Ave, Bronx",DEP,3701 Jerome Ave,Bronx,10467,40.887018,-73.878095,7,"['EV Solar Arc Charger', 'Level 2 Charger', 'Level 3 Fast Charger']",No,No,POINT (-73.878095 40.887018)
"DEP - 623 Myrtle Ave, Brooklyn",DEP,623 Myrtle Ave,Brooklyn,11205,40.694275,-73.958854,4,['Level 2 Charger'],No,No,POINT (-73.958854 40.694275)
"DEP - 7 Ward's Island Bridge, Manhattan",DEP,7 Ward's Island Bridge,Manhattan,10035,40.792839,-73.922819,2,['Level 2 Charger'],No,No,POINT (-73.922819 40.792839)
"DEP - 116 K Rd, Manhattan",DEP,116 K Rd,Manhattan,10035,40.791469,-73.921474,4,['EV Solar Arc Charger'],No,No,POINT (-73.921474 40.791469)
"DEP - 117 K Rd, Manhattan",DEP,117 K Rd,Manhattan,10035,40.791483,-73.921463,1,['EV Solar Arc Charger'],No,No,POINT (-73.921463 40.791483)
"DEP - 930 Zerega Ave, Bronx",DEP,930 Zerega Ave,Bronx,10473,40.827109,-73.843596,20,"['Level 2 Charger', 'Level 3 Fast Charger']",No,No,POINT (-73.843596 40.827109)
"DEP - 43-1 Berrian Blvd, Queens",DEP,43-1 Berrian Blvd,Queens,11105,40.778421,-73.894593,7,"['Level 2 Charger', 'Level 3 Fast Charger']",No,No,POINT (-73.894593 40.778421)
"DEP - 855 Remsen Ave, Brooklyn",DEP,855 Remsen Ave,Brooklyn,11236,40.646913,-73.913395,4,['Level 3 Fast Charger'],No,No,POINT (-73.913395 40.646913)
"DEP - 22 N 15th St, Brooklyn",DEP,22 N 15th St,Brooklyn,11222,40.724694,-73.956901,1,['EV Solar Arc Charger'],No,No,POINT (-73.956901 40.724694)
"DEP - 3201 Jerome Ave, Bronx",DEP,3201 Jerome Ave,Bronx,10468,40.877534,-73.887189,4,"['EV Solar Arc Charger', 'Level 3 Fast Charger']",No,No,POINT (-73.887189 40.877534)
"DEP - 1270 Victory Blvd, Staten Island",DEP,1270 Victory Blvd,Staten Island,10301,40.615436,-74.105751,2,['Level 2 Charger'],No,No,POINT (-74.105751 40.615436)
"DEP - 201 Douglass St, Brooklyn",DEP,201 Douglass St,Brooklyn,11217,40.681639,-73.987684,2,['Level 2 Charger'],No,No,POINT (-73.987684 40.681639)
"DEP - 305 Seigel St, Brooklyn",DEP,305 Seigel St,Brooklyn,11206,40.705517,-73.934242,2,['Level 2 Charger'],No,No,POINT (-73.934242 40.705517)
"DEP - 164-11 110th Avenue, Queens",DEP,164-11 110th Avenue,Queens,11433,40.693916,-73.787682,2,['Level 3 Fast Charger'],No,No,POINT (-73.787682 40.693916)
"DEP - 164-21 110th Avenue, Queens",DEP,164-21 110th Avenue,Queens,11433,40.694094,-73.787263,1,['Level 3 Fast Charger'],No,No,POINT (-73.787263 40.694094)
"DEP - 1270 Ryawa Ave, Bronx",DEP,1270 Ryawa Ave,Bronx,10474,40.804827,-73.884759,6,['Level 3 Fast Charger'],No,No,POINT (-73.884759 40.804827)
"DEP - 150-20 134Th St, Queens",DEP,150-20 134Th St,Queens,11420,40.662964,-73.806765,5,"['Level 2 Charger', 'Level 3 Fast Charger']",No,No,POINT (-73.806765 40.662964)
"DEP - 3055 Goulden Avenue, Bronx",DEP,3055 Goulden Avenue,Bronx,10468,40.877917,-73.892251,1,['Level 3 Fast Charger'],No,No,POINT (-73.892251 40.877917)
"DEP - 59-17 Junction Blvd, Queens",DEP,59-17 Junction Blvd,Queens,11373,40.734606,-73.864774,20,['Level 2 Charger'],No,No,POINT (-73.864774 40.734606)
"DEP - 96-08 57Th Ave, Queens",DEP,96-08 57Th Ave,Queens,11368,40.73698,-73.864625,10,['Level 2 Charger'],No,No,POINT (-73.864625 40.73698)
"DEP - 58-17 Junction Blvd, Queens",DEP,58-17 Junction Blvd,Queens,11373,40.735229,-73.865098,6,['Level 2 Charger'],No,No,POINT (-73.865098 40.735229)
"DEP - 28 Pike St, Manhattan",DEP,28 Pike St,Manhattan,10002,40.71282,-73.992461,2,['Level 2 Charger'],No,No,POINT (-73.992461 40.71282)
"DEP - 30 Pike St, Manhattan",DEP,30 Pike St,Manhattan,10002,40.712735,-73.99245,1,['Level 3 Fast Charger'],No,No,POINT (-73.99245 40.712735)
"DEP - 886 St Nicholas Ave, Manhattan",DEP,886 St Nicholas Ave,Manhattan,10032,40.83028,-73.941602,2,['Level 3 Fast Charger'],No,No,POINT (-73.941602 40.83028)
"DEP - 329 Greenpoint Ave, Brooklyn",DEP,329 Greenpoint Ave,Brooklyn,11222,40.731483,-73.946271,16,['Level 2 Charger'],No,No,POINT (-73.946271 40.731483)
"DEP - 267 Greenpoint Ave, Brooklyn",DEP,267 Greenpoint Ave,Brooklyn,11222,40.730718,-73.948891,2,['EV Solar Arc Charger'],No,No,POINT (-73.948891 40.730718)
"DEP - 751 Mill Road, Staten Island",DEP,751 Mill Road,Staten Island,10306,40.552071,-74.116133,8,"['Level 2 Charger', 'Level 3 Fast Charger']",No,No,POINT (-74.116133 40.552071)
"DEP - 6700 Shore Rd, Brooklyn",DEP,6700 Shore Rd,Brooklyn,11220,40.6418,-74.034055,10,"['Level 2 Charger', 'Level 3 Fast Charger']",No,No,POINT (-74.034055 40.6418)
"DEP - 1875 Ralph Ave, Brooklyn",DEP,1875 Ralph Ave,Brooklyn,11234,40.631422,-73.91852,1,['Level 3 Fast Charger'],No,No,POINT (-73.91852 40.631422)
"DEP - 1801 Richmond Terr, Staten Island",DEP,1801 Richmond Terr,Staten Island,10310,40.637232,-74.125556,5,['Level 3 Fast Charger'],No,No,POINT (-74.125556 40.637232)
"DEP - 133-25 32nd Ave, Queens",DEP,133-25 32nd Ave,Queens,11354,40.766974,-73.835301,11,"['Level 2 Charger', 'Level 3 Fast Charger']",No,No,POINT (-73.835301 40.766974)
"DEP - 106-36 180Th St, Queens",DEP,106-36 180Th St,Queens,11433,40.703128,-73.77772,14,"['EV Solar Arc Charger', 'Level 2 Charger', 'Level 3 Fast Charger']",No,No,POINT (-73.77772 40.703128)
"DEP - 49-14 Fresh Meadow Ln, Queens",DEP,49-14 Fresh Meadow Ln,Queens,11365,40.747092,-73.794673,6,"['Level 2 Charger', 'Level 3 Fast Charger']",No,No,POINT (-73.794673 40.747092)
"DEP - 63 Flushing Ave, Brooklyn",DEP,63 Flushing Ave,Brooklyn,11205,40.69802,-73.974986,4,"['Level 2 Charger', 'Level 3 Fast Charger']",No,No,POINT (-73.974986 40.69802)
"DEP - 182 Joline Ave, Staten Island",DEP,182 Joline Ave,Staten Island,10307,40.508319,-74.235614,2,['EV Solar Arc Charger'],No,No,POINT (-74.235614 40.508319)
"DEP - 350 Flushing Ave, Brooklyn",DEP,350 Flushing Ave,Brooklyn,11205,40.69834,-73.960921,2,['Level 3 Fast Charger'],No,No,POINT (-73.960921 40.69834)
"DEP - 127-01 Powell Cove Blvd, Queens",DEP,127-01 Powell Cove Blvd,Queens,11356,40.793864,-73.840525,2,['Level 3 Fast Charger'],No,No,POINT (-73.840525 40.793864)
